Model,R2,RMSE,MAE
ExtraTrees,0.6464898378480585,0.8417723342808673,0.6080603487959577
GradientBoosting,0.5338591800679806,0.9666121830360842,0.7456562454588774
RandomForest,0.4999106040399106,1.0011923432310068,0.7503666058308135
DecisionTree,-0.0034558981437102787,1.4182175056630641,0.9362011638655174
