,standard_value_nM,pIC50,MW,LogP,HBD,HBA
count,183.0,183.0,183.0,183.0,183.0,183.0
mean,97832.09344262297,5.8926376387374555,374.7476557377049,2.6395994535519143,1.0874316939890711,5.0
std,263286.7263606182,1.48065367073608,95.39996754806606,2.016152599562538,1.0550795316519281,1.4935759876113537
min,1.8,3.0,137.162,-6.191599999999997,0.0,2.0
25%,100.0,4.966650724788503,310.6145,1.7332299999999998,0.0,4.0
50%,700.0,6.154901959985743,360.90700000000004,2.746500000000001,1.0,5.0
75%,10800.0,7.0,426.5825000000001,3.748400000000003,2.0,6.0
max,1000000.0,8.744727494896694,666.9920000000003,7.64580000000001,4.0,8.0
