,standard_value_nM,pIC50,MW,LogP,HBD,HBA
count,415.0,415.0,415.0,415.0,415.0,415.0
mean,47002.58593927711,6.175661995093548,378.2626337349398,3.2589651084337374,0.8216867469879519,4.132530120481928
std,180738.2554464774,1.410921520524256,125.26445089661618,2.3999668826452862,0.8636581271387005,1.7415849043796372
min,0.3,3.0,137.162,-6.191599999999997,0.0,1.0
25%,55.475,5.0,296.7815,1.9238,0.0,3.0
50%,540.0,6.267606240177032,351.45000000000016,3.3024400000000025,1.0,4.0
75%,10000.0,7.255922138117144,432.9445000000002,4.559950000000004,1.0,5.0
max,1000000.0,9.522878745280336,1008.8660000000004,10.735599999999994,4.0,8.0
